"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"183",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,183,76.1,63.5,66.9,84.9,4
"184",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,184,74.1,60.3,66.2,80.6,1
"185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,185,72.3,57,61,82.9,3
"186",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,186,77.4,63.5,71.1,87.1,2
"187",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,187,72.3,64.2,68,84,3
"188",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2001,188,64.2,49.5,60.1,68,5
"189",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2001,189,74.7,60.3,64,86,1
"190",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,190,68.9,57.8,61,78.1,2
"191",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2001,191,74.4,60.6,64.4,87.8,2
"192",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2001,192,77.9,69.1,69.8,89.6,4
"193",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2001,193,77.2,66.3,73,87.1,5
"194",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2001,194,69.9,63.5,60.8,75.2,2
"195",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2001,195,64.2,52.5,55,79,5
"196",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2001,196,67.6,52.8,55,80.1,3
"197",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,197,72.7,55.2,61,84,1
"198",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2001,198,60.1,44,55.4,64.4,6
"199",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2001,199,61.2,44.3,55,66.9,2
"200",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2001,200,62.2,47.8,53.6,71.6,2
"201",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2001,201,64.2,51.3,57.2,69.8,1
"202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2001,202,64.1,54.2,57.2,69.8,3
"203",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2001,203,63.8,53.3,55,73.9,1
"204",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2001,204,65.5,58.8,62.6,69.8,1
"205",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2001,205,64.3,54.7,54,75,1
"206",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2001,206,64.1,56.1,57,72,4
"207",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2001,207,52.1,42.9,48.2,55.4,3
"208",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2001,208,50,34.3,42.8,57.2,4
"209",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,209,56.7,36.8,48.2,69.8,2
"210",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2001,210,56.1,44.7,46.9,63,2
"211",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2001,211,55.3,47.1,53.6,55.4,3
"212",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2001,212,57.7,48.4,50,64.9,3
"213",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2001,213,58.3,50.4,46.4,71.6,3
